query_id,none_hit@10,none_rr@10,none_ndcg@10,compressed_hit@10,compressed_rr@10,compressed_ndcg@10,run_name,M,Compression,delta_hit@10,delta_rr@10,delta_ndcg@10,quantization_sensitivity_type
q029,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q026,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_opq_pq,8,OPQ+PQ,0.0,0.0,0.0,stable
q027,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_opq_pq,8,OPQ+PQ,0.0,0.0,0.0,stable
q028,1.0,0.1,0.17723928678404774,1.0,0.1,0.17723928678404774,w6_N10_M8_opq_pq,8,OPQ+PQ,0.0,0.0,0.0,stable
q029,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_opq_pq,8,OPQ+PQ,0.0,0.0,0.0,stable
q030,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_opq_pq,8,OPQ+PQ,0.0,0.0,0.0,stable
q018,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q003,1.0,0.1,0.2890648263178879,1.0,0.1,0.2890648263178879,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q009,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q005,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q006,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q007,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q008,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q009,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q010,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q009,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q010,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q011,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q012,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q013,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q014,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q015,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q016,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q017,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q018,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q019,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q020,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q020,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q021,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q023,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q027,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q025,1.0,1.0,1.0,1.0,1.0,1.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q026,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q026,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q027,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q028,1.0,0.1,0.17723928678404774,1.0,0.1,0.17723928678404774,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q029,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q030,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_pq,8,PQ,0.0,0.0,0.0,stable
q026,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q003,1.0,0.1,0.2890648263178879,1.0,0.1,0.2890648263178879,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q023,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q005,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q006,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q014,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,0.0,0.0,stable
