query_id,page_id,rank,score,M,page_tokens
q001,doc006_p008,1,1.0706971883773804,24,24
q001,doc001_p004,2,0.7640905976295471,24,24
q001,doc003_p004,3,0.7561337351799011,24,24
q001,doc006_p019,4,0.7216252684593201,24,24
q001,doc008_p001,5,0.5800221562385559,24,24
q001,doc006_p027,6,0.5416319966316223,24,24
q001,doc001_p001,7,0.2257833331823349,24,24
q001,doc009_p001,8,0.09729994833469391,24,24
q001,doc001_p003,9,0.06054668501019478,24,24
q001,doc008_p002,10,-0.10154253244400024,24,24
q002,doc006_p013,1,-0.02975272759795189,24,24
q002,doc004_p010,2,-0.09332600980997086,24,24
q002,doc001_p002,3,-0.2497057318687439,24,24
q002,doc006_p021,4,-0.4586111605167389,24,24
q002,doc003_p022,5,-0.4809609651565552,24,24
q002,doc004_p009,6,-0.5165621042251587,24,24
q002,doc006_p010,7,-0.5247478485107422,24,24
q002,doc006_p012,8,-0.5489920377731323,24,24
q002,doc007_p001,9,-0.6350030303001404,24,24
q002,doc006_p020,10,-0.771522581577301,24,24
q003,doc006_p008,1,-0.16880923509597778,24,24
q003,doc006_p024,2,-0.3948347270488739,24,24
q003,doc006_p009,3,-0.4773894250392914,24,24
q003,doc004_p007,4,-0.49089041352272034,24,24
q003,doc006_p007,5,-0.5097123980522156,24,24
q003,doc001_p004,6,-0.5308259129524231,24,24
q003,doc003_p013,7,-0.59685879945755,24,24
q003,doc007_p001,8,-0.686673641204834,24,24
q003,doc006_p010,9,-0.7010400891304016,24,24
q003,doc001_p003,10,-1.0030514001846313,24,24
q004,doc006_p013,1,0.5339415669441223,24,24
q004,doc006_p021,2,0.3192287087440491,24,24
q004,doc001_p004,3,0.30984893441200256,24,24
q004,doc001_p002,4,0.21780091524124146,24,24
q004,doc007_p002,5,0.172317236661911,24,24
q004,doc006_p020,6,0.038216061890125275,24,24
q004,doc003_p009,7,0.03672380745410919,24,24
q004,doc007_p001,8,-0.1110253781080246,24,24
q004,doc010_p001,9,-0.16144539415836334,24,24
q004,doc001_p003,10,-0.24735583364963531,24,24
q005,doc004_p006,1,0.15322594344615936,24,24
q005,doc004_p011,2,0.09450985491275787,24,24
q005,doc006_p021,3,-0.12254483997821808,24,24
q005,doc004_p012,4,-0.16826501488685608,24,24
q005,doc006_p012,5,-0.19068922102451324,24,24
q005,doc006_p010,6,-0.20787277817726135,24,24
q005,doc003_p024,7,-0.22328394651412964,24,24
q005,doc005_p008,8,-0.23082807660102844,24,24
q005,doc005_p002,9,-0.3533395528793335,24,24
q005,doc003_p009,10,-0.36742907762527466,24,24
q006,doc006_p013,1,0.3607980012893677,24,24
q006,doc004_p011,2,0.2632787525653839,24,24
q006,doc006_p024,3,-0.0004888232797384262,24,24
q006,doc006_p019,4,-0.04464352875947952,24,24
q006,doc001_p004,5,-0.04645633324980736,24,24
q006,doc004_p012,6,-0.1503422111272812,24,24
q006,doc006_p010,7,-0.2838151454925537,24,24
q006,doc007_p001,8,-0.41165220737457275,24,24
q006,doc005_p002,9,-0.43117237091064453,24,24
q006,doc001_p003,10,-0.6575121879577637,24,24
q007,doc006_p008,1,0.24310368299484253,24,24
q007,doc006_p019,2,0.22800704836845398,24,24
q007,doc003_p021,3,0.208971306681633,24,24
q007,doc003_p004,4,0.03545084223151207,24,24
q007,doc001_p004,5,0.026198383420705795,24,24
q007,doc006_p010,6,-0.08737790584564209,24,24
q007,doc006_p009,7,-0.10758282244205475,24,24
q007,doc007_p001,8,-0.23120176792144775,24,24
q007,doc003_p029,9,-0.43943125009536743,24,24
q007,doc008_p002,10,-0.6058070659637451,24,24
q008,doc004_p006,1,0.6909862160682678,24,24
q008,doc003_p025,2,0.5372384190559387,24,24
q008,doc004_p013,3,0.291812539100647,24,24
q008,doc006_p012,4,0.2850453853607178,24,24
q008,doc006_p021,5,0.20607393980026245,24,24
q008,doc003_p024,6,0.14123395085334778,24,24
q008,doc006_p010,7,0.11446410417556763,24,24
q008,doc003_p027,8,0.10214834660291672,24,24
q008,doc003_p023,9,0.04583703726530075,24,24
q008,doc003_p022,10,0.0410318523645401,24,24
q009,doc004_p006,1,0.8374688029289246,24,24
q009,doc003_p025,2,0.6235238909721375,24,24
q009,doc004_p013,3,0.33412426710128784,24,24
q009,doc006_p012,4,0.29721561074256897,24,24
q009,doc003_p024,5,0.20328794419765472,24,24
q009,doc006_p010,6,0.15796266496181488,24,24
q009,doc003_p027,7,0.11134840548038483,24,24
q009,doc003_p023,8,0.109687440097332,24,24
q009,doc003_p022,9,0.013661377131938934,24,24
q009,doc005_p008,10,-0.1897435337305069,24,24
q010,doc006_p024,1,0.40707695484161377,24,24
q010,doc003_p013,2,0.3889615535736084,24,24
q010,doc006_p021,3,0.26097753643989563,24,24
q010,doc003_p011,4,0.2113509178161621,24,24
q010,doc004_p018,5,0.1755412220954895,24,24
q010,doc003_p010,6,0.09632749110460281,24,24
q010,doc004_p012,7,0.07971888780593872,24,24
q010,doc006_p020,8,0.044925712049007416,24,24
q010,doc005_p002,9,-0.01171337440609932,24,24
q010,doc005_p008,10,-0.20611867308616638,24,24
q011,doc005_p004,1,0.5499264001846313,24,24
q011,doc006_p025,2,0.392753005027771,24,24
q011,doc006_p021,3,0.24150052666664124,24,24
q011,doc006_p012,4,0.18251121044158936,24,24
q011,doc006_p022,5,0.15395119786262512,24,24
q011,doc006_p010,6,0.033124297857284546,24,24
q011,doc005_p005,7,0.00763784721493721,24,24
q011,doc006_p020,8,-0.032601505517959595,24,24
q011,doc005_p008,9,-0.23379221558570862,24,24
